73,3,699,709
73,4,107,715
73,5,626,718
73,7,9,1001
73,8,115,710
73,9,-38,1055
74,1,1846,826
74,2,1303,726
74,3,697,711
74,4,110,713
74,5,623,718
74,7,7,1001
74,8,118,710
74,9,-41,1058
75,1,1846,826
75,2,1301,726
75,3,692,710
75,4,113,713
75,5,614,714
75,7,6,1001
75,8,121,710
75,9,-44,1060
76,1,1846,826
76,2,1298,726
76,3,689,710
76,4,117,713
76,5,612,716
76,7,4,1001
76,8,124,710
76,9,-48,1062
77,1,1846,826
77,2,1296,726
77,3,685,710
77,4,120,714
77,5,609,716
77,7,2,1001
77,8,127,710
77,9,-51,1065
78,1,1846,827
78,2,1293,726
78,3,683,710
78,4,123,713
78,5,605,711
78,7,0,1001
78,8,131,710
78,9,-54,1067
79,1,1847,827
79,2,1295,724
79,3,681,710
79,4,126,710
79,5,601,708
79,7,0,1001
79,8,134,711
79,9,-57,1069
80,1,1847,827
80,2,1290,724
80,3,680,708
80,4,128,712
80,5,598,710
80,7,-2,1001
80,8,137,711
80,9,-60,1071
81,1,1847,827
81,2,1286,724
81,3,677,709
81,4,132,715
81,5,595,708
81,7,-4,1001
81,8,140,711
81,9,-63,1074
82,1,1847,827
82,2,1282,724
82,3,675,709
82,4,136,719
82,5,589,707
82,7,-6,1001
82,8,143,711
82,9,-66,1076
83,1,1847,827
83,2,1279,723
83,3,672,709
83,4,141,719
83,5,587,708
83,7,-7,1002
83,8,134,715
83,9,-69,1078
84,1,1847,827
84,2,1276,723
84,3,669,709
84,4,144,720
84,5,584,707
84,7,-9,1002
84,8,137,716
84,9,-72,1081
85,1,1846,827
85,2,1273,723
85,3,667,709
85,4,146,721
85,5,581,709
85,7,-11,1002
85,8,139,716
85,9,-75,1083
86,1,1846,826
86,2,1273,725
86,3,658,710
86,4,149,722
86,5,580,711
86,7,-13,1002
86,8,145,719
86,9,-78,1085
87,1,1845,826
87,2,1272,727
87,3,655,710
87,4,152,723
87,5,578,711
87,7,-14,1002
87,8,150,719
87,9,-81,1087
88,1,1845,826
88,2,1270,726
88,3,653,708
88,4,156,724
88,5,576,711
88,7,-16,1002
88,8,155,721
88,9,-85,1090
89,1,1845,825
89,2,1268,725
89,3,650,708
89,4,159,724
89,5,574,708
89,7,-18,1002
89,8,159,722
89,9,-88,1092
90,1,1845,825
90,2,1266,725
90,3,647,708
90,4,158,721
90,5,572,707
90,7,-20,1002
90,8,161,723
90,9,-91,1094
91,1,1845,825
91,2,1259,725
91,3,643,708
91,4,162,718
91,5,569,707
91,7,-21,1002
91,8,164,723
91,9,-94,1097
92,1,1846,825
92,2,1256,725
92,3,640,708
92,4,165,719
92,5,566,706
92,7,-23,1002
92,8,168,724
92,9,-97,1099
92,13,21,704
93,1,1846,826
93,2,1254,723
93,3,637,706
93,4,167,719
93,5,563,706
93,7,-25,1003
93,8,171,725
93,9,-100,1101
93,13,22,704
94,1,1845,826
94,2,1250,723
94,3,634,706
94,4,168,720
94,5,560,706
94,7,-27,1003
94,8,174,725
94,9,-103,1103
94,13,22,705
95,1,1845,826
95,2,1248,724
95,3,631,704
95,4,171,720
95,5,558,705
95,7,-28,1003
95,8,178,726
95,9,-106,1106
95,13,22,705
96,1,1844,826
96,2,1246,724
96,3,629,705
96,4,173,721
96,5,555,705
96,7,-30,1003
96,8,181,727
96,9,-109,1108
96,13,23,706
97,1,1844,826
97,2,1244,723
97,3,625,705
97,4,176,722
97,5,552,704
97,7,-32,1003
97,8,184,727
97,9,-112,1110
97,13,31,706
98,1,1845,826
98,2,1241,723
98,3,621,706
98,4,178,721
98,5,549,704
98,7,-34,1003
98,8,188,728
98,9,-115,1113
98,13,33,706
99,1,1845,826
99,2,1236,725
99,3,617,706
99,4,180,721
99,5,547,704
99,7,-35,1003
99,8,191,729
99,9,-119,1115
99,13,35,706
100,1,1844,826
100,2,1234,725
100,3,614,706
100,4,182,722
100,5,544,703
100,7,-37,1003
100,8,188,723
100,9,-122,1117
100,13,38,707
101,1,1844,826
101,2,1232,724
101,3,611,707
101,4,186,725
101,5,540,712
101,7,-39,1003
101,8,196,726
101,9,-125,1120
101,13,42,707
102,1,1844,825
102,2,1230,722
102,3,608,706
102,4,189,726
102,5,538,715
102,7,-41,1004
102,8,199,729
102,9,-128,1122
102,13,44,706
103,1,1844,825
103,2,1229,720
103,3,607,707
103,4,192,727
103,5,535,715
103,7,-42,1004
103,8,202,731
103,9,-131,1124
103,13,45,705
103,14,536,757
104,1,1844,825
104,2,1228,720
104,3,603,705
104,4,195,728
104,5,532,715
104,7,-44,1004
104,8,206,732
104,9,-134,1126
104,13,46,706
104,14,536,757
105,1,1844,825
105,2,1225,719
105,3,601,704
105,4,199,730
105,5,524,713
105,7,-46,1004
105,8,204,730
105,9,-137,1129
105,13,49,707
105,14,535,758
106,1,1844,825
106,2,1223,719
106,3,600,704
106,4,201,730
106,5,521,712
106,7,-48,1004
106,8,208,730
106,9,-140,1131
106,13,51,707
106,14,535,758
107,1,1844,825
107,2,1221,717
107,3,593,703
107,4,203,728
107,5,517,713
107,7,-49,1004
107,8,208,729
107,9,-143,1133
107,13,53,705
107,14,535,759
108,1,1844,825
108,2,1219,717
